ID,Brand,Variety,Style,Country,Stars
r4650,jasmine,XXL Bihun Segera Penang White Curry,Pack,Malaysia,5.0
r4649,indomie,Mi Instan Mi Keriting Goreng Spesial,Pack,Indonesia,5.0
r4648,mama,Oriental Kitchen Dried Instant Noodles Truffle Flavour,Pack,Thailand,4.5
r4647,ottogi,Jin Jjajang Smoked Black Bean Flavor,Pack,United States,4.5
r4646,samyang foods,Samyand Ramen,Pack,United States,5.0
r4645,jasmine,XXL Bihun Segera Sup Ayam,Pack,Malaysia,3.75
r4644,sapporo ichiban,Cup Star Batman Garlic Shrimp Aji,Cup,Japan,3.75
r4643,best wok,Corn Bihun Hot & Spicy Fried Bihun,Pack,Indonesia,5.0
r4642,noodlemix,3 Flavors In 1 Noodle – Rice Noodle,Box,Taiwan,5.0
r4641,sugakiya foods,Cup Taiwan Ramen,Bowl,Japan,3.5
r4640,daebak,Seafood Jjamppong Ramyeon,Pack,Malaysia,3.75
r4639,nissin,Men Shokunin Koidashi Niboshi Shoyu,Bowl,Japan,2.5
r4638,nissin,UFO Pokkmyeon Koi Koi Kankoku Fu Amakara Carbo,Tray,Japan,3.75
r4637,acecook,Wonton Men Donburi Butaman Chuka Soba,Bowl,Japan,3.5
r4636,fan's,Hot & Sour Pork Bone Ramen,Cup,China,4.25
r4635,mom's dry noodle,Surfmama Goose Oil Zhajiang Noodle,Pack,Taiwan,5.0
r4634,the han kitchen,Budae Ramyun,Pack,South Korea,5.0
r4633,ippudo,Shiromaru Classic Ramen,Box,Japan,5.0
r4632,a-sha,Meteor Noodles With Hot & Sour Sauce,Pack,Taiwan,5.0
r4631,kobe,Jiwa Pagi Mi Instan Ayam Bawang,Pack,Indonesia,2.5
r4630,noodlemix,3 Flavors In 1 Noodle – Guanmiao,Box,Taiwan,5.0
r4629,acecook,Locabodeli Coco Ichibanya Kanshu Curry Ramen Toushitsu Off,Bowl,Japan,4.0
r4628,nongshim,Bowl Noodles Savory Chicken Flavor,Bowl,United States,4.0
r4627,best wok,Corn Bihun Original Fried Bihun,Pack,Indonesia,4.0
r4626,daikoku,Large Sauce Yakisoba,Tray,Japan,2.5
r4625,samyang foods,Tangle Bulgogi Alfredo Tangluccine,Pack,United States,5.0
r4624,samyang foods,Buldak Basil & Cream Udon,Bowl,South Korea,4.5
r4623,noodlemix,Vegetarian Noodles,Box,Taiwan,5.0
r4622,nissin,Cup Noodles Creamy Tom Yam Flavour,Cup,Singapore,5.0
r4621,tapatio,Ramen Noodle Soup Birria Flavor,Bowl,United States,4.5
r4620,cielo,Menudo Instant Ramen Noodle,Bowl,United States,3.75
r4619,pran,Mr. Noodles Instant Noodles Curry Flavour,Pack,Bangladesh,3.25
r4618,maruchan,Itsumo no Ippai Wantanmen Shoyu Tonkotsu,Bowl,Japan,4.5
r4617,viz,Naruto Shippuden Ichiraku Ramen Candy,Box,United States,4.0
r4616,nissin,Chicken Ramen Donburi,Bowl,Japan,5.0
r4615,noodlemix,Hot & Sour Flavor Konjac Noodle,Bowl,Taiwan,4.5
r4614,cielo,Pozole Flavor Instant Ramen Noodle,Bowl,United States,5.0
r4613,ippudo,Akamaru Modern Ramen,Box,Japan,5.0
r4612,noodlemix,Kelp Seasonal Vegetable Flavor Pumpkin Konjac Noodle,Bowl,Taiwan,5.0
r4611,samyang foods,Buldak Hot Chicken Stir-fried Noodles Jjajang,Bowl,South Korea,1.5
r4610,thai kitchen,Garlic & Vegetable Instant Rice Noodle Soup,Pack,United States,4.0
r4609,acecook,Oishi Naniwa no Ushio Ramen Shoyu,Cup,Japan,3.5
r4608,jinmailiang,Udon Noodles With Seafood Flavor,Pack,China,4.0
r4607,indomie,Mi Goreng Rasa Ayam Pop,Pack,Indonesia,5.0
r4606,a-sha,Meteor Noodles With Braised Beef Sauce,Pack,Taiwan,5.0
r4605,thai authentic,Sriracha Shrimp Ramen Noodle Soup Meal Kit,Bowl,United States,4.0
r4604,meet mee,Chili Pan Mee,Pack,Malaysia,5.0
r4603,nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,5.0
r4602,daebak,Ghost Pepper Cheese Spicy Chicken Flavour,Cup,Malaysia,4.0
r4601,indomie,Hype Abis Mi Kuah Rasa Seblak Hot Jeletot,Pack,Indonesia,2.5
r4600,kung fu noodles,Premium Braised Beef Noodle Soup,Box,Taiwan,5.0
r4599,kobe,Jiwa Pagi Mi Instan Mie Goreng,Pack,Indonesia,3.25
r4598,raindrops,Gummy Noodles Soft Candy Mix,Box,United States,3.5
r4597,super bubur,Rasa Ayam,Pack,Indonesia,5.0
r4596,red chef,Sesame Clear Soup Noodles,Pack,Malaysia,4.5
r4595,burung layang terbang,Mie Goreng Rasa Sambal Terasi,Pack,Indonesia,5.0
r4594,nissin,no Assari Odashi ga Oishii Donbei Kizami Age Udon,Bowl,Japan,3.5
r4593,red chef,Green Tom Yum Soup Noodles,Pack,Malaysia,5.0
r4592,koba,Jiwa Pagi Mi Instan Rasa Soto Segeer,Pack,Indonesia,3.75
r4591,sapporo ichiban,Kuze Fuku Mainichi Yasai Dashi Shio Ramen,Cup,Japan,5.0
r4590,daebak,Habanero Kimchi Jjigae Flavour,Cup,Malaysia,3.5
r4589,acecook,Tategata Nomihosu Niigata Nagaoka Shoga Shoyu Ramen,Cup,Japan,3.75
r4588,indomie,Mi Instan Rasa Kaldu Ayam,Pack,Indonesia,3.75
